Sample,Time,XCenter,YCenter
35077,1403.04,100.6969044,339.5792305
35078,1403.08,101.3609422,340.2230855
35079,1403.12,102.0246144,340.8681625
35080,1403.16,102.6879302,341.5144732
35081,1403.2,103.3398523,342.1777159
35082,1403.24,104.0025019,342.8265561
35083,1403.28,104.6648226,343.476666
35084,1403.32,105.3268236,344.1280579
35085,1403.36,105.9885143,344.780744
35086,1403.4,106.6499037,345.4347366
35087,1403.44,107.3110012,346.0900481
35088,1403.48,107.9609005,346.7625661
35089,1403.52,108.6214604,347.4205804
35090,1403.56,109.281756,348.0799516
35091,1403.6,109.9417967,348.7406924
35092,1403.64,110.4091473,350.2325423
35093,1403.68,110.8768115,351.7314923
35094,1403.72,111.344803,353.2376354
35095,1403.76,111.8240174,354.7347709
35096,1403.8,112.2927109,356.2554983
35097,1403.84,112.7617737,357.7837051
35098,1403.88,113.2312191,359.3194927
35099,1403.92,113.7010636,360.8629563
35100,1403.96,114.1713208,362.4142
35101,1404,114.6529227,363.9565006
35102,1404.04,115.1240564,365.5235233
35103,1404.08,115.5956478,367.0986392
35104,1404.12,116.0677124,368.6819564
35105,1404.16,116.0124334,369.8948383
35106,1404.2,115.9565459,371.1129673
35107,1404.24,115.9000449,372.3363895
35108,1404.28,115.8429255,373.5651511
35109,1404.32,115.7851826,374.7992992
35110,1404.36,115.7268112,376.0388811
35111,1404.4,115.6678063,377.2839448
35112,1404.44,115.6081626,378.5345387
35113,1404.48,115.5478749,379.790712
35114,1404.52,115.486938,381.0525141
35115,1404.56,115.4253465,382.3199953
35116,1404.6,115.363095,383.5932063
35117,1404.64,115.3001782,384.8721983
35118,1404.68,115.2365904,386.1570231
35119,1404.72,115.1723262,387.4477333
35120,1404.76,115.1026272,388.8961784
35121,1404.8,115.0230144,390.346231
35122,1404.84,114.9515978,391.8096816
35123,1404.88,114.8793174,393.2807613
35124,1404.92,114.7970563,394.7536047
35125,1404.96,114.7230097,396.2401512
35126,1405,114.6480749,397.7345624
35127,1405.04,114.5630903,399.2308995
35128,1405.08,114.4863389,400.7412567
35129,1405.12,114.4086736,402.2597231
35130,1405.16,114.3208881,403.780284
35131,1405.2,114.241354,405.3151942
35132,1405.24,114.1608798,406.8584677
35133,1405.28,114.070213,408.4040108
35134,1405.32,113.987816,409.9642451
35135,1405.36,114.3398256,411.3206238
35136,1405.4,114.6921976,412.6832936
35137,1405.44,115.0542228,414.0586157
35138,1405.48,115.4073521,415.4340935
35139,1405.52,115.7608683,416.8160603
35140,1405.56,116.1147798,418.2045836
35141,1405.6,116.4784114,419.6061494
35142,1405.64,116.8331477,421.0080223
35143,1405.68,117.188305,422.416659
35144,1405.72,117.5438923,423.8321301
35145,1405.76,117.9092707,425.2610527
35146,1405.8,118.265754,426.6904405
35147,1405.84,118.6226946,428.1268796
35148,1405.88,118.9685984,428.4900192
35149,1405.92,119.3026179,428.8750442
35150,1405.96,119.6485663,429.2393176
35151,1406,119.9945339,429.6041509
35152,1406.04,120.3405219,429.9695462
35153,1406.08,120.6653035,430.3502406
35154,1406.12,121.0113474,430.7167762
35155,1406.16,121.3574158,431.0838804
35156,1406.2,121.6916801,431.4730363
35157,1406.24,122.0378121,431.8413058
35158,1406.28,122.3839727,432.2101507
35159,1406.32,122.7301633,432.5795733
35160,1406.36,123.0645958,432.9711442
35161,1406.4,123.4108608,433.3417504
35162,1406.44,123.75716,433.7129411
35163,1406.48,124.0823687,434.0995553
35164,1406.52,124.4287508,434.4719317
35165,1406.56,124.7751711,434.8448994
35166,1406.6,125.121631,435.2184608
35167,1406.64,125.4564128,435.6143427
35168,1406.68,125.8029667,435.9891204
35169,1406.72,125.8029667,435.9891204
35170,1406.76,125.8029667,435.9891204
35171,1406.8,125.8029667,435.9891204
35172,1406.84,125.8029667,435.9891204
35173,1406.88,125.8029667,435.9891204
35174,1406.92,125.8029667,435.9891204
35175,1406.96,125.8029667,435.9891204
35176,1407,125.8029667,435.9891204
35177,1407.04,125.8029667,435.9891204
35178,1407.08,125.8029667,435.9891204
35179,1407.12,125.8029667,435.9891204
35180,1407.16,125.8029667,435.9891204
35181,1407.2,125.8029667,435.9891204
35182,1407.24,125.8029667,435.9891204
35183,1407.28,125.8029667,435.9891204
35184,1407.32,125.8029667,435.9891204
35185,1407.36,125.8029667,435.9891204
35186,1407.4,125.8029667,435.9891204
35187,1407.44,125.8029667,435.9891204
35188,1407.48,125.8029667,435.9891204
35189,1407.52,125.8029667,435.9891204
35190,1407.56,125.8029667,435.9891204
35191,1407.6,125.8029667,435.9891204
35192,1407.64,125.8029667,435.9891204
35193,1407.68,125.8029667,435.9891204
35194,1407.72,125.8029667,435.9891204
35195,1407.76,125.8029667,435.9891204
35196,1407.8,125.8029667,435.9891204
35197,1407.84,125.8029667,435.9891204
35198,1407.88,125.8029667,435.9891204
35199,1407.92,125.8029667,435.9891204
35200,1407.96,125.8029667,435.9891204
35201,1408,125.8029667,435.9891204
35202,1408.04,125.8029667,435.9891204
35203,1408.08,125.8029667,435.9891204
35204,1408.12,125.8029667,435.9891204
35205,1408.16,125.8029667,435.9891204
35206,1408.2,125.8029667,435.9891204
35207,1408.24,125.8029667,435.9891204
35208,1408.28,125.8029667,435.9891204
35209,1408.32,125.8029667,435.9891204
35210,1408.36,125.8029667,435.9891204
35211,1408.4,125.8029667,435.9891204
35212,1408.44,125.8029667,435.9891204
35213,1408.48,125.8029667,435.9891204
35214,1408.52,125.8029667,435.9891204
35215,1408.56,125.8029667,435.9891204
35216,1408.6,125.8029667,435.9891204
35217,1408.64,125.8170163,436.0600614
35218,1408.68,125.842777,436.1092625
35219,1408.72,125.8568292,436.180233
35220,1408.76,125.8708824,436.2512209
35221,1408.8,125.8849366,436.3222262
35222,1408.84,125.9107034,436.3714725
35223,1408.88,125.9247602,436.4425074
35224,1408.92,125.9388179,436.5135598
35225,1408.96,125.9645892,436.5628393
35226,1409,125.9786496,436.6339213
35227,1409.04,125.9927109,436.7050208
35228,1409.08,126.027859,436.7612121
35229,1409.12,126.0419235,436.8323429
35230,1409.16,126.0559891,436.9034913
35231,1409.2,126.0700556,436.9746571
35232,1409.24,126.0958377,437.0240167
35233,1409.28,126.1099068,437.0952123
35234,1409.32,126.123977,437.1664254
35235,1409.36,126.1497636,437.2158183
35236,1409.4,126.1638364,437.2870611
35237,1409.44,126.1779101,437.3583216
35238,1409.48,126.2037012,437.4077478
35239,1409.52,126.2177777,437.479038
35240,1409.56,126.2318551,437.5503458
35241,1409.6,126.2459335,437.6216712
35242,1409.64,126.2717308,437.6711432
35243,1409.68,126.2858118,437.7424984
35244,1409.72,126.2998939,437.8138713
35245,1409.76,126.3256957,437.8633767
35246,1409.8,126.3397804,437.9347795
35247,1409.84,126.3538661,438.0061999
35248,1409.88,126.3796725,438.0557389
35249,1409.92,126.3937609,438.1271892
35250,1409.96,126.4078503,438.1986572
35251,1410,126.4219407,438.2701428
35252,1410.04,126.4571367,438.3266458
35253,1410.08,126.4712304,438.3981632
35254,1410.12,126.485325,438.4696983
35255,1410.16,126.5111424,438.5193182
35256,1410.2,126.5252397,438.5908834
35257,1410.24,126.5393381,438.6624662
35258,1410.28,126.56516,438.7121198
35259,1410.32,126.5792611,438.7837328
35260,1410.36,126.5933631,438.8553634
35261,1410.4,126.6074662,438.9270118
35262,1410.44,126.6332944,438.9767116
35263,1410.48,126.6474002,439.0483901
35264,1410.52,126.4643459,439.0970061
35265,1410.56,126.2718089,439.1387468
35266,1410.6,126.0768181,439.2094762
35267,1410.64,125.8934832,439.258278
35268,1410.68,125.7100586,439.307139
35269,1410.72,125.5171408,439.3491291
35270,1410.76,125.3335341,439.3981095
35271,1410.8,125.1380299,439.469184
35272,1410.84,124.9542329,439.5182909
35273,1410.88,124.760932,439.5605313
35274,1410.92,124.5769518,439.6097582
35275,1410.96,124.392881,439.6590445
35276,1411,124.1968597,439.7304658
35277,1411.04,124.0031735,439.7729575
35278,1411.08,123.8188176,439.8224317
35279,1411.12,123.6343706,439.8719657
35280,1411.16,123.4498324,439.9215595
35281,1411.2,123.2438563,439.9864118
35282,1411.24,123.0591225,440.0361343
35283,1411.28,122.8742971,440.0859169
35284,1411.32,122.6893799,440.1357595
35285,1411.36,122.4949269,440.1787492
35286,1411.4,122.2978574,440.25087
35287,1411.44,122.1126514,440.3009021
35288,1411.48,121.927353,440.3509945
35289,1411.52,121.7325079,440.3942385
35290,1411.56,121.5470221,440.4444528
35291,1411.6,121.3494244,440.5169256
35292,1411.64,121.1637426,440.5672688
35293,1411.68,120.9685031,440.610768
35294,1411.72,120.7826327,440.6612335
35295,1411.76,120.5966692,440.7117598
35296,1411.8,120.3985395,440.7845864
35297,1411.84,120.2029032,440.8283419
35298,1411.88,120.0166461,440.8790597
35299,1411.92,119.8302952,440.9298384
35300,1411.96,119.6438505,440.9806782
35301,1412,119.4478259,441.0246833
35302,1412.04,119.2490528,441.0979355
35303,1412.08,119.0623124,441.1489678
35304,1412.12,118.8754776,441.2000613
35305,1412.16,118.6790515,441.2443246
35306,1412.2,118.4920248,441.295542
35307,1412.24,118.2927114,441.369152
35308,1412.28,118.1054842,441.4205004
35309,1412.32,117.9086544,441.4650229
35310,1412.36,117.7212341,441.5164956
35311,1412.4,117.5337184,441.5680299
35312,1412.44,117.3338609,441.6419996
35313,1412.48,117.1366249,441.6867825
35314,1412.52,116.9488088,441.7385115
35315,1412.56,116.7608968,441.7903025
