Sample,Time,X.center,Y.center,,, 
9577,383.04,288.2064849,327.4393238,,,
9578,383.08,288.1356076,327.5094409,,,
9579,383.12,288.0647088,327.5795898,,,
9580,383.16,288.0014442,327.6552069,,,
9581,383.2,287.930503,327.7254204,,,
9582,383.24,287.8595401,327.7956658,,,
9583,383.28,287.7962138,327.8713823,,,
9584,383.32,287.7252084,327.9416924,,,
9585,383.36,287.6541815,328.0120346,,,
9586,383.4,287.5907932,328.0878505,,,
9587,383.44,287.5197236,328.1582576,,,
9588,383.48,287.4486322,328.2286967,,,
9589,383.52,287.3851819,328.3046124,,,
9590,383.56,287.3140478,328.3751166,,,
9591,383.6,287.242892,328.445653,,,
9592,383.64,287.1793794,328.5216686,,,
9593,383.68,287.1081807,328.5922701,,,
9594,383.72,287.0369601,328.6629039,,,
9595,383.76,286.9733851,328.7390197,,,
9596,383.8,286.9021216,328.8097189,,,
9597,383.84,286.8308362,328.8804504,,,
9598,383.88,286.7671986,328.9566666,,,
9599,383.92,286.6958701,329.0274636,,,
9600,383.96,286.6245196,329.098293,,,
9601,384,286.5608193,329.1746099,,,
9602,384.04,286.4894256,329.2455049,,,
9603,384.08,286.4180099,329.3164325,,,
9604,384.12,286.3542467,329.3928503,,,
9605,384.16,286.2827876,329.4638436,,,
9606,384.2,286.0298913,329.6497151,,,
9607,384.24,285.7809283,329.8235468,,,
9608,384.28,285.5276018,330.0099525,,,
9609,384.32,285.2782227,330.1842948,,,
9610,384.36,285.0244632,330.3712372,,,
9611,384.4,284.7746653,330.5460925,,,
9612,384.44,284.5204701,330.733574,,,
9613,384.48,284.2660521,330.9213324,,,
9614,384.52,284.0156172,331.0969679,,,
9615,384.56,283.7607595,331.2852693,,,
9616,384.6,283.5098991,331.4614239,,,
9617,384.64,283.2545988,331.6502707,,,
9618,384.68,283.0033103,331.8269469,,,
9619,384.72,282.7475647,332.0163418,,,
9620,384.76,282.6023671,332.0214084,,,
9621,384.8,282.4648479,332.0319833,,,
9622,384.84,282.3196133,332.0371108,,,
9623,384.88,282.1820558,332.0477443,,,
9624,384.92,282.0367839,332.0529328,,,
9625,384.96,281.8949184,332.0761004,,,
9626,385,281.7496049,332.0813516,,,
9627,385.04,281.6042728,332.0866339,,,
9628,385.08,281.4666148,332.0974167,,,
9629,385.12,281.3212447,332.10276,,,
9630,385.16,281.1835473,332.1136015,,,
9631,385.2,281.0381389,332.1190058,,,
9632,385.24,280.8927115,332.1244412,,,
9633,385.28,280.7549549,332.1353713,,,
9634,385.32,280.6094887,332.1408678,,,
9635,385.36,280.4716921,332.1518567,,,
9636,385.4,280.3261868,332.1574142,,,
9637,385.44,280.1883499,332.1684618,,,
9638,385.48,280.0384844,332.1865811,,,
9639,385.52,279.8929162,332.1922326,,,
9640,385.56,279.7550147,332.203371,,,
9641,385.6,279.6094067,332.2090836,,,
9642,385.64,279.4714643,332.2202808,,,
9643,385.68,279.3258161,332.2260545,,,
9644,385.72,279.1614412,332.2029953,,,
9645,385.76,279.0090917,332.1729115,,,
9646,385.8,278.8447068,332.1499268,,,
9647,385.84,278.684673,332.1144689,,,
9648,385.88,278.5279579,332.0970028,,,
9649,385.92,278.3679219,332.0616188,,,
9650,385.96,278.2035168,332.0387847,,,
9651,386,278.0467803,332.0214253,,,
9652,386.04,277.8867387,331.986153,,,
9653,386.08,277.7223149,331.9634314,,,
9654,386.12,277.5699438,331.9336651,,,
9655,386.16,277.405508,331.9110175,,,
9656,386.2,277.2410645,331.8884082,,,
9657,386.24,277.088683,331.8587472,,,
9658,386.28,276.9242269,331.8362117,,,
9659,386.32,276.7641718,331.8011998,,,
9660,386.36,276.6073699,331.7841584,,,
9661,386.4,276.4473101,331.7492198,,,
9662,386.44,276.2828286,331.7268337,,,
9663,386.48,276.1260017,331.7098982,,,
9664,386.52,275.9659324,331.6750702,,,
9665,386.56,275.8014283,331.6527957,,,
9666,386.6,275.6413545,331.6180428,,,
9667,386.64,275.4844958,331.6012481,,,
9668,386.68,275.3199681,331.5790849,,,
9669,386.72,275.1598833,331.5444422,,,
9670,386.76,275.0029974,331.5277529,,,
9671,386.8,274.8429057,331.4931829,,,
9672,386.84,274.6783483,331.471168,,,
9673,386.88,274.5259035,331.4420654,,,
9674,386.92,274.3613301,331.4201236,,,
9675,386.96,274.1967468,331.3982196,,,
9676,387,274.0442859,331.3692207,,,
9677,387.04,273.879686,331.3473896,,,
9678,387.08,273.7195667,331.3130762,,,
9679,387.12,273.562598,331.2967009,,,
9680,387.16,273.3979706,331.2749802,,,
9681,387.2,273.2378365,331.2407759,,,
9682,387.24,273.0808369,331.2245052,,,
9683,387.28,272.9206934,331.1903729,,,
9684,387.32,272.7560312,331.1687994,,,
9685,387.36,272.6035207,331.1401106,,,
9686,387.4,272.43884,331.1186095,,,
9687,387.44,272.2855046,330.853974,,,
9688,387.48,272.1323146,330.5896413,,,
9689,387.52,271.9716426,330.3202632,,,
9690,387.56,271.8187467,330.0565405,,,
9691,387.6,271.665995,329.7931181,,,
9692,387.64,271.5057736,329.5246677,,,
9693,387.68,271.3533133,329.2618502,,,
9694,387.72,271.2009958,328.9993305,,,
9695,387.76,271.0488207,328.7371079,,,
9696,387.8,270.8967876,328.4751814,,,
9697,387.84,270.7373053,328.2082555,,,
9698,387.88,270.5855593,327.9469255,,,
9699,387.92,270.433954,327.6858891,,,
9700,387.96,270.2749116,327.4198704,,,
9701,388,270.1235908,327.1594254,,,
9702,388.04,269.9724095,326.8992718,,,
9703,388.08,269.9525741,326.9784589,,,
9704,388.12,269.9403044,327.0629399,,,
9705,388.16,269.9204596,327.1421855,,,
9706,388.2,269.9006095,327.2214596,,,
9707,388.24,269.876182,327.3131039,,,
9708,388.28,269.863896,327.3977111,,,
9709,388.32,269.8440301,327.4770769,,,
9710,388.36,269.8241589,327.5564714,,,
9711,388.4,269.8118617,327.6411703,,,
9712,388.44,269.7919811,327.7206235,,,
9713,388.48,269.7720951,327.8001054,,,
9714,388.52,269.7597868,327.8848961,,,
9715,388.56,269.7398913,327.9644369,,,
9716,388.6,269.7154089,328.0563903,,,
9717,388.64,269.6955017,328.1359932,,,
9718,388.68,269.683177,328.2209108,,,
9719,388.72,269.6632603,328.3005727,,,
9720,388.76,269.6433382,328.3802634,,,
9721,388.8,269.6310024,328.4652734,,,
9722,388.84,269.6110707,328.5450232,,,
9723,388.88,269.5911338,328.624802,,,
9724,388.92,269.5787866,328.7099044,,,
9725,388.96,269.5542491,328.8021687,,,
9726,389,269.5342961,328.8820403,,,
9727,389.04,269.5143378,328.9619408,,,
9728,389.08,269.5019742,329.047171,,,
9729,389.12,269.4820063,329.1271309,,,
9730,389.16,269.462033,329.2071198,,,
9731,389.2,269.4496581,329.292443,,,
9732,389.24,269.4296752,329.3724915,,,
9733,389.28,269.4096869,329.452569,,,
9734,389.32,269.3850925,329.5451446,,,
9735,389.36,269.3727011,329.6305963,,,
9736,389.4,269.3526967,329.7107672,,,
9737,389.44,269.3326869,329.7909673,,,
9738,389.48,269.3202841,329.8765123,,,
9739,389.52,269.3002647,329.9567722,,,
9740,389.56,269.2802398,330.0370614,,,
9741,389.6,269.2678255,330.1226999,,,
9742,389.64,269.247791,330.203049,,,
9743,389.68,269.2231408,330.2959393,,,
9744,389.72,269.2030944,330.3763517,,,
9745,389.76,269.1906635,330.4621195,,,
9746,389.8,269.1706073,330.5425919,,,
9747,389.84,269.1505457,330.6230937,,,
9748,389.88,269.1381034,330.7089555,,,
9749,389.92,269.1180321,330.7895175,,,
9750,389.96,269.0979553,330.8701089,,,
9751,390,269.0855014,330.9560649,,,
9752,390.04,269.060795,331.049272,,,
9753,390.08,269.040702,331.1299579,,,
9754,390.12,269.0206035,331.2106732,,,
9755,390.16,269.0081328,331.2967595,,,
9756,390.2,268.9880246,331.3775354,,,
9757,390.24,269.1393254,331.4360022,,,
9758,390.28,269.2906381,331.494509,,,
9759,390.32,269.4343243,331.5477056,,,
9760,390.36,269.5856597,331.6062899,,,
9761,390.4,269.7370073,331.6649143,,,
9762,390.44,269.8929681,331.7109954,,,
9763,390.48,270.0443364,331.7696985,,,
9764,390.52,270.1957172,331.8284419,,,
9765,390.56,270.3394644,331.8818608,,,
9766,390.6,270.4908691,331.9406824,,,
9767,390.64,270.6422866,331.9995444,,,
9768,390.68,270.7937169,332.0584468,,,
9769,390.72,270.9451602,332.1173897,,,
9770,390.76,271.0889637,332.1709961,,,
9771,390.8,271.2404319,332.2300177,,,
9772,390.84,271.3919133,332.28908,,,
9773,390.88,271.5479663,332.3355831,,,
9774,390.92,271.6994707,332.3947253,,,
9775,390.96,271.8509886,332.4539083,,,
9776,391,271.9948592,332.5077403,,,
9777,391.04,272.1464031,332.5670027,,,
9778,391.08,272.2979608,332.626306,,,
9779,391.12,272.4495326,332.6856505,,,
9780,391.16,272.6011184,332.7450361,,,
9781,391.2,272.7450503,332.7990582,,,
9782,391.24,272.8966631,332.8585236,,,
9783,391.28,273.0482902,332.9180303,,,
9784,391.32,273.2044475,332.9649614,,,
9785,391.36,273.3560997,333.0245492,,,
9786,391.4,273.5077667,333.0841784,,,
