Sample,Time,X.center,Y.center,,,
1192,47.64,289.3175716,324.8794945,,,
1193,47.68,289.2992576,324.882505,,,
1194,47.72,289.2809433,324.8855161,,,
1195,47.76,289.2626287,324.8885277,,,
1196,47.8,289.244314,324.8915398,,,
1197,47.84,289.2333654,324.8991396,,,
1198,47.88,289.21505,324.9021528,,,
1199,47.92,289.1967343,324.9051665,,,
1200,47.96,289.1784184,324.9081807,,,
1201,48,289.1601023,324.9111955,,,
1202,48.04,289.1491518,324.9187975,,,
1203,48.08,289.130835,324.9218133,,,
1204,48.12,289.112518,324.9248296,,,
1205,48.16,289.0942007,324.9278465,,,
1206,48.2,289.0758832,324.9308639,,,
1207,48.24,289.0575654,324.9338819,,,
1208,48.28,289.0466126,324.9414865,,,
1209,48.32,289.0247061,324.9566972,,,
1210,48.36,289.0063869,324.959717,,,
1211,48.4,288.9880675,324.9627374,,,
1212,48.44,288.9697478,324.9657583,,,
1213,48.48,288.9587929,324.9733656,,,
1214,48.52,288.9404726,324.9763875,,,
1215,48.56,288.922152,324.97941,,,
1216,48.6,288.9038312,324.982433,,,
1217,48.64,288.8855102,324.9854566,,,
1218,48.68,288.8671889,324.9884807,,,
1219,48.72,288.8562316,324.9960906,,,
1220,48.76,288.8379097,324.9991157,,,
1221,48.8,288.8195875,325.0021414,,,
1222,48.84,285.1160323,324.2909617,,,
1223,48.88,285.4527962,324.4419081,,,
1224,48.92,285.8007853,324.5854543,,,
1225,48.96,286.1379939,324.7368978,,,
1226,49,286.4864248,324.8809435,,,
1227,49.04,286.8240839,325.0328871,,,
1228,49.08,287.1729627,325.1774351,,,
1229,49.12,287.5110781,325.3298818,,,
1230,49.16,287.8604107,325.4749352,,,
1231,49.2,288.1989884,325.627888,,,
1232,49.24,288.2315053,325.5177842,,,
1233,49.28,288.2676208,325.3955162,,,
1234,49.32,288.3001119,325.2855376,,,
1235,49.36,288.3325907,325.1756181,,,
1236,49.4,288.3686638,325.0535547,,,
1237,49.44,288.4011168,324.94376,,,
1238,49.48,288.4371614,324.8218351,,,
1239,49.52,288.4695886,324.712165,,,
1240,49.56,288.5020036,324.6025537,,,
1241,49.6,288.538006,324.4808324,,,
1242,49.64,288.5703954,324.3713453,,,
1243,49.68,288.6027725,324.261917,,,
1244,49.72,288.638733,324.1403987,,,
1245,49.76,288.6710846,324.0310942,,,
1246,49.8,288.7070166,323.9097133,,,
1247,49.84,288.7393426,323.8005323,,,
1248,49.88,289.2033362,323.1426928,,,
1249,49.92,289.66966,322.4752515,,,
1250,49.96,290.1311872,321.8223242,,,
1251,50,290.5915026,321.1718084,,,
1252,50.04,291.0541303,320.5117646,,,
1253,50.08,291.5047344,319.8615549,,,
1254,50.12,291.9649458,319.2063841,,,
1255,50.16,292.4204808,318.565445,,,
1256,50.2,292.8748486,317.9268393,,,
1257,50.24,293.3314998,317.2788265,,,
1258,50.28,293.7835447,316.644881,,,
1259,50.32,293.4832094,316.7914392,,,
1260,50.36,293.1826882,316.9382437,,,
1261,50.4,292.8854332,317.0735778,,,
1262,50.44,292.5845459,317.2208663,,,
1263,50.48,292.2834697,317.3684029,,,
1264,50.52,291.9822038,317.5161882,,,
1265,50.56,291.6842341,317.6524644,,,
1266,50.6,291.3825942,317.8007385,,,
1267,50.64,291.0807615,317.9492631,,,
1268,50.68,290.7787351,318.0980389,,,
1269,50.72,290.4765139,318.2470665,,,
1270,50.76,290.1776268,318.3845359,,,
1271,50.8,289.8750217,318.5340582,,,
1272,50.84,289.5722188,318.6838343,,,
1273,50.88,289.2692171,318.8338646,,,
1274,50.92,288.9660155,318.9841499,,,
1275,50.96,288.6661865,319.1228272,,,
1276,51,288.3625911,319.2736133,,,
1277,51.04,288.0587927,319.4246563,,,
1278,51.08,287.7547905,319.5759567,,,
1279,51.12,287.4541918,319.7156091,,,
