Sample,Time,X.center,Y.center,,, 
2293,91.68,169.4386707,35.55296948,,,
2294,91.72,169.4386707,35.55296948,,,
2295,91.76,169.4386707,35.55296948,,,
2296,91.8,169.4386707,35.55296948,,,
2297,91.84,169.4386707,35.55296948,,,
2298,91.88,169.4386707,35.55296948,,,
2299,91.92,169.4386707,35.55296948,,,
2300,91.96,169.4386707,35.55296948,,,
2301,92,169.4386707,35.55296948,,,
2302,92.04,169.4386707,35.55296948,,,
2303,92.08,169.4386707,35.55296948,,,
2304,92.12,169.4386707,35.55296948,,,
2305,92.16,169.4386707,35.55296948,,,
2306,92.2,169.4386707,35.55296948,,,
2307,92.24,169.4386707,35.55296948,,,
2308,92.28,169.4386707,35.55296948,,,
2309,92.32,169.4386707,35.55296948,,,
2310,92.36,169.4386707,35.55296948,,,
2311,92.4,169.4386707,35.55296948,,,
2312,92.44,169.4386707,35.55296948,,,
2313,92.48,169.4386707,35.55296948,,,
2314,92.52,169.4386707,35.55296948,,,
2315,92.56,169.4386707,35.55296948,,,
2316,92.6,169.4386707,35.55296948,,,
2317,92.64,169.4386707,35.55296948,,,
2318,92.68,169.4386707,35.55296948,,,
2319,92.72,169.4386707,35.55296948,,,
2320,92.76,169.4386707,35.55296948,,,
2321,92.8,169.4386707,35.55296948,,,
2322,92.84,169.4386707,35.55296948,,,
2323,92.88,169.4386707,35.55296948,,,
2324,92.92,169.4386707,35.55296948,,,
2325,92.96,169.4386707,35.55296948,,,
2326,93,169.4386707,35.55296948,,,
2327,93.04,169.4386707,35.55296948,,,
2328,93.08,169.4386707,35.55296948,,,
2329,93.12,169.4386707,35.55296948,,,
2330,93.16,169.4386707,35.55296948,,,
2331,93.2,169.4386707,35.55296948,,,
2332,93.24,169.4386707,35.55296948,,,
2333,93.28,169.4386707,35.55296948,,,
2334,93.32,169.4386707,35.55296948,,,
2335,93.36,169.4386707,35.55296948,,,
2336,93.4,169.4386707,35.55296948,,,
2337,93.44,169.4386707,35.55296948,,,
2338,93.48,169.4386707,35.55296948,,,
2339,93.52,169.4386707,35.55296948,,,
2340,93.56,169.4386707,35.55296948,,,
2341,93.6,169.4386707,35.55296948,,,
2342,93.64,169.4386707,35.55296948,,,
2343,93.68,169.4386707,35.55296948,,,
2344,93.72,169.4386707,35.55296948,,,
